shona,luo
"Uye Mwari akasika zvisikwa zvikuru zvemugungwa, nezvisikwa zvese zvipenyu zvinofamba uye zvinogara zvakawanda mumvura, nezvisikwa zvese zvine mapapiro zvinobhururuka. Akazvisika zvese maererano nemarudzi azvo. Uye Mwari akaona kuti zvakanga zvakanaka.","Mi Nyasaye nochueyo le madongo modak e nam, kod gik mangima duto modak e pi kaka kothgi obet. Bende, nochueyo gik ma fuyo duto kaka kothgi obet. Mi Nyasaye noneno ni gima nosetimono ber."
"Mwari akabva azvikomborera, achiti: “Berekai muwande, muzadze mvura yemumakungwa, uye zvisikwa zvinobhururuka ngazviwande panyika.”","Kamano, Nyasaye noguedhogi kowacho niya: “Nyuolreuru upong’ nam, kendo gik ma fuyo opong’ piny.”"
"Uye manheru akavapo nemangwanani akavapo, zuva rechishanu.","Piny noimore kendo noyawore, mi mano nobedo odiechieng’ mar abich."
"Mwari akabva ati: “Nyika ngaibudise zvisikwa zvipenyu maererano nemarudzi azvo, zvipfuwo nemhuka dzinokambaira uye mhuka dzemusango dzepanyika, zvese maererano nemarudzi azvo.” Uye zvakaitika saizvozvo.","Eka Nyasaye nowacho niya: “Gik mangima mondo obed e piny kaka kothgi obet, le mipidho, gi le mamol, kod le mag bungu kaka kothgi obet.” Mi nobedo kamano."
"Mwari akatanga kuita mhuka dzemusango panyika maererano nemarudzi adzo, nezvipfuwo maererano nemarudzi azvo, nemhuka dzese dzinokambaira panyika maererano nemarudzi adzo. Uye Mwari akaona kuti zvakanga zvakanaka.","Kendo Nyasaye nochueyo le mag bungu, le mipidho, kod le mamol. Nochueyogi giduto kaka kothgi obet. Mi Nyasaye noneno ni gima nosetimono ber."
"Mwari akabva ati: “Ngatiitei munhu nemufananidzo wedu, akafanana nesu, uye ngavave nesimba pahove dzegungwa, nepazvisikwa zvinobhururuka zvekudenga, nepazvipfuwo uye panyika yese nepamhuka dzese dzinokambaira dzinofamba panyika.”","Eka Nyasaye nowacho niya: “Koro, wachue dhano e kido machal kodwa, mondo gibed gi teko e wi rech manie nam, gi gik ma fuyo e kor polo, gi le mipidho, kod gik mamoko duto mamol e wi piny.”"
"Mwari akatanga kusika munhu nemufananidzo wake, akamusika nemufananidzo waMwari; akavasika munhurume nemunhukadzi.","Kamano, Nyasaye nochueyo dhano e kite owuon. Ne ochueye e kido machal kode; ne ochueyo dichwo gi dhako."
"Uyezve, Mwari akavakomborera, akati kwavari: “Berekai muwande, muzadze nyika, ive pasi penyu, muve nesimba pahove dzegungwa, nepazvisikwa zvinobhururuka zvekudenga, nepazvisikwa zvese zvipenyu zvinofamba panyika.”","Mi Nyasaye noguedhogi, kendo nowachonegi niya: “Nyuolreuru mondo upong’ piny, kendo ubed gi teko e wi piny. Urit rech manie nam, kod gik ma fuyo e kor polo, kaachiel gi gik mangima duto manie piny.”"
"Mwari akabva ati: “Ndakupai zvinomera zvese zvinobereka mbeu zviri panyika yese, nemiti yese yemichero inoita mhodzi. Ngazvive zvekudya zvenyu.","Eka Nyasaye nomedo wacho niya: “Asemiyou alode kod yien ma nyago kodhi, kaachiel gi yien duto ma nyago olembe mondo gibed chiembu."
"Uye mhuka dzese dzemusango dzepanyika, nezvisikwa zvese zvinobhururuka zvekudenga, nezvinhu zvese zvinofamba panyika zvine upenyu mazviri, ndazvipa zvinomera zvese zvakasvibirira kuti zvive zvekudya zvazvo.” Uye zvakaitika saizvozvo.","Bende, asemiyo gik ma twi e lowo mondo obed chiemb le duto mag bungu, gi gik moko duto ma fuyo e kor polo, kod gik mangima duto manie piny.” Mi nobedo kamano."
"Pashure pacho Mwari akaona zvinhu zvese zvaakanga aita, uye zvakanga zvakanaka chaizvo. Uye manheru akavapo nemangwanani akavapo, zuva rechitanhatu.","Bang’ mano, Nyasaye nong’iyo gik moko duto ma nosechueyo, moneno ni gibeyo ahinya. Piny noimore kendo noyawore, mi mano nobedo odiechieng’ mar auchiel."
Saka denga nenyika nezvimwe zvese zviri mazviri zvakapera kusikwa.,"Kamano, Nyasaye notieko chueyo polo gi piny kod gik moko duto man e igi."
"Pakazosvika zuva rechinomwe, Mwari akanga apedza basa rake raakanga achiita, uye akatanga kuzorora pazuva rechinomwe pabasa rake rese raakanga achiita.","E odiechieng’ mar abiriyo, Nyasaye nosetieko tije ma nosebedo kotimo. Eka nochako yueyo e odiechieng’ mar abiriyono bang’ tieko tijene."
"Mwari akabva atanga kukomborera zuva rechinomwe, akariti idzvene, nekuti pazuva iroro Mwari akatanga kuzorora pabasa rake rekusika zvinhu zvese, zvese zvaakaita maererano nechinangwa chake.","Ne oguedho odiechieng’ mar abiriyo kendo ne owale mobedo odiechieng’ maler, nikech chakre chieng’no, osebedo ka oyueyo bang’ chueyo gik moko duto ma nodwaro chueyo."
"Iyi ndiyo nhoroondo yedenga nenyika pazvakasikwa, pazuva rakaitwa denga nenyika naJehovha Mwari.",Mano e kaka ne ochue polo gi piny chieng’ ma Jehova Nyasaye nochueyo piny gi polo.
"Panyika pakanga pasati pava nemakwenzi uye masango akanga asati avapo, nekuti Jehovha Mwari akanga asati anayisa mvura panyika uye pakanga pasina munhu wekuti airime.","Ne onge gimoro amora ma nosetwi e lowo, nikech Jehova Nyasaye ne pok okelo koth e piny, kendo ne onge dhano ma puro lowo."
"Asi mhute yaikwira ichibva panyika, ichinyorovesa nyika yese.","To ong’ueng’o ne wuok e piny, kendo ne omiyo lowo duto bedo ma ng’ich."
"Uye Jehovha Mwari akatanga kuumba munhu neguruva revhu akafuridzira mumhino dzake mweya wekufema weupenyu, munhu akava mupenyu.",Eka Jehova Nyasaye nokawo lowo mochueyogo dhano. Nokudho much ngima e ume mi dhano obedo mangima.
"Zvadaro, Jehovha Mwari akasima munda muEdheni, nechekumabvazuva; uye akaisamo munhu waakanga asika.","Kendo, Jehova Nyasaye noloso puodho e Eden, ma ne ni yo wuok chieng’, mi oketoe dhano ma nosechueyono."
"Saka Jehovha Mwari akaita kuti mumunda macho mumere miti yese inoyevedza uye yakanakira kudya uyewo muti weupenyu uri pakati pemunda, nemuti wekuziva zvakanaka nezvakaipa.","Jehova Nyasaye nomiyo kit yiende mopogore opogore odongo e lowo, kit yiende ma lombo wang’ kendo ma nyago olemo michamo. Ne nitie bende yath ma nyago olemb ngima e dier puodho, kod yath ma nyago olemo ma kelo ng’eyo ber gi rach."
"Paiva nerwizi rwaitangira muEdheni rwaiyerera ruchidiridza munda wacho, uye parwaibuda imomo rwaiparadzana rwoita nzizi ina.","Ne nitie aora moro ma ne wuok e Eden, kendo en e ma ne oyomo puodhono gi pi. To bang’ wuok e puodhono, aorano ne opogore mobedo aoche ang’wen."
"Rwekutanga runonzi Pishoni; ndirwo runopoterera nyika yese yeHavhira, iyo ine goridhe.","Aora mokwongo iluongo ni Pishon, en e aora mamol ka lworo piny Havila ka ma dhahabu yudoree."
Goridhe renyika iyoyo rakanaka. Kunowanikawo dheriyamu nedombo reonikisi.,Dhahabu ma a e pinyno ber ahinya. Gam miluongo ni bedelium kod kite mag oniks bende yudore kanyo.
Rwizi rwechipiri runonzi Gihoni; ndirwo runopoterera nyika yese yeKushi.,"Aora mar ariyo iluongo ni Gihon, en e aora mamol ka lworo piny Kush duto."
Rwizi rwechitatu runonzi Hidhekeri; ndirwo runoenda kumabvazuva kweAsiriya. Uye rwizi rwechina runonzi Yufratesi.,"Aora mar adek iluongo ni Hidekel, en e ma omol kochomo yo wuok chieng’ mar Asuria. To aora mar ang’wen iluongo ni Yufrate."
"Jehovha Mwari akatora munhu, akamuita kuti agare mumunda weEdheni kuti aurime nekuuchengeta.",Jehova Nyasaye nokawo dhano ma okete e puodho mar Eden mondo opure kendo orite.
Jehovha Mwari akapawo munhu murayiro uyu: “Unogona hako kudya michero yemiti yese yemumunda kusvikira waguta.,"Bende, Jehova Nyasaye nochike niya: “Inyalo chamo olemb yien duto manie puodho."
"Asi haufaniri kudya muchero wemuti wekuziva zvakanaka nezvakaipa, nekuti zuva raunoudya chokwadi uchafa.”","To olemb yath ma kelo ng’eyo ber gi rach kik icham. Nikech chieng’ michame, to initho.”"
"Jehovha Mwari akabva ati: “Hazvina kunaka kuti munhu arambe ari ega. Ndichamuitira mubatsiri, anonyatsoenderana naye.”","Eka Jehova Nyasaye nowacho niya: “Ok ber mondo dhano obed kende. Kuom mano, abiro miye jakony mowinjore kode.”"
"Uye Jehovha Mwari akanga aumba nevhu mhuka dzese dzemusango nezvisikwa zvese zvinobhururuka zvekudenga, uye akatanga kuzviunza kumunhu kuti aone kuti aizotumidza chimwe nechimwe kuti chii; chero zita raipiwa chisikwa chipenyu chimwe nechimwe nemunhu, ndiro rakava zita racho.","Koro, Jehova Nyasaye nochueyo le duto me bungu kod gik moko duto ma fuyo e kor polo kotiyo gi lowo, mi ochako kelogi ne dhano mondo omigi nyinge. To nying moro amora ma dhano ne miyo gik mangimago, mano e ma ne bedo nyingegi."
"Saka munhu akapa mazita kuzvipfuwo zvese nezvisikwa zvinobhururuka zvekudenga nemhuka dzese dzesango, asi munhu akanga asina mubatsiri wake anonyatsoenderana naye.","Kamano e kaka dhano nomiyo le mipidho duto nyingegi, gi gik ma fuyo, kaachiel gi le duto me bungu, to pod en ne oonge gi jakony mowinjore kode."
"Saka Jehovha Mwari akaita kuti munhu abatwe nehope huru, uye paakanga akarara, akatora mbabvu yake imwe chete akabva aita kuti nyama ivhare panzvimbo payo.","Kuom mano, Jehova Nyasaye nomiyo dichwono nindo matut, mi ne ogolo ng’etne achiel, kendo ne odino ka ma ne ogoloe ng’edno."
"Jehovha Mwari akaumba mukadzi nembabvu yaakanga atora pamurume, akamuunza kumurume.","Eka Jehova Nyasaye nochueyo dhako gi ng’et ma ne ogolo kuom dichwo, motero dhakono ir dichwo."
"Murume akabva ati: “Iri ndiro rava pfupa remapfupa angu Nenyama yenyama yangu. Uyu achanzi Mukadzi, Nekuti akatorwa pamurume.”","Eka dichwo nowacho kama: “Koro, ma e chogo mar chokena, Kendo ringre mar ringrena. Ibiro luonge ni Dhako, Nikech ne ogole kuom dichwo.”"
"Ndokusaka murume achasiya baba vake naamai vake uye achanamatira kumudzimai wake, uye vachava nyama imwe.","Mano e ma omiyo dichwo nowe wuon-gi gi min-gi mi nomakre gi chiege, kendo ginibed ringruok achiel."
"Vese vari vaviri vakanga vasina kupfeka, murume nemudzimai wake; asi vakanga vasinganyare.","Dichwo gi dhakono ne ni duk, kata kamano, ne ok gine wich-kuot."
Nyoka ndiyo yakanga yakachenjera kupfuura mhuka dzese dzemusango dzakanga dzaitwa naJehovha Mwari. Saka yakati kumukadzi: “Ichokwadi here kuti Mwari akati hamufaniri kudya michero yemiti yese yemumunda?”,"Koro, thuol ne riek moloyo le duto mag bungu ma Jehova Nyasaye ne osechueyo. Omiyo, nopenjo dhako niya: “Be en adier ni Nyasaye nowacho ni kik ucham olemb yath moro amora manie puodho?”"
Mukadzi akabva ati kunyoka: “Tingadya hedu michero yemiti yemumunda.,To dhako nodwoko thuol niya: “Wanyalo chamo olemb yien duto manie puodho.
"Asi Mwari akataura nezvemuchero wemuti uri pakati pemunda, achiti: ‘Musaudya, kana kuubata; mukangodaro muchafa.’”","Kata kamano, kuom olemb yath manie dier puodho, Nyasaye osewacho kama: ‘Kik uchame, kendo kik umule, nono to ubiro tho.’”"
Nyoka yakabva yati kumukadzi: “Chokwadi hamumbofi.,Eka thuol ne owacho ne dhakono niya: “Ok unutho ngang’.
"Nekuti Mwari anoziva kuti zuva ramuchaudya, maziso enyu achasvinudzwa uye muchafanana naMwari, muchiziva zvakanaka nezvakaipa.”","Nimar Nyasaye ong’eyo ni chieng’ muchamee, wang’u noyepi mi unubed machal gi Nyasaye, kung’eyo ber gi rach.”"
"Audzwa izvi, mukadzi akaona kuti muti wacho wakanga wakanakira kudya uye kuti wakanga uchiyevedza, chokwadi, muti wacho waifadza kutarisa. Saka akatemha muchero wawo akatanga kuudya. Akazopawo murume wake paakanga ava naye, akatanga kuudya.","Omiyo, dhakono noneno ni olemb yadhno ber chamo, kendo olombo wang’. Adier, yadhno ne ber ahinya. Kuom mano, ne opono olemb yadhno mochako chamo. Kae to bang’e nomiyo chwore moko ka en kode, mi chwore bende ne ochamo."
"Maziso avo akabva asvinudzwa, vakabva vaziva kuti vakanga vasina kupfeka. Saka vakasonanidza mashizha emuonde, vakazvigadzirira zvinofukidza chiuno.","Eka wengegi noyepo mi gifwenyo ni gin duk. Omiyo, ne gitwang’o oboke mag yadh ng’owo mi giumogo duggi."
"Gare gare vakanzwa inzwi raJehovha Mwari paakanga achifamba mumunda pakwainge kwava kutonhorera, uye murume nemudzimai wake vakanohwanda Jehovha Mwari pakati pemiti yemumunda.","Bang’e ne giwinjo dwond Jehova Nyasaye sa ma nowuotho e puodho godhiambo ka yamo kutho, mi ne gipondo ne Jehova Nyasaye e kind yien manie puodho."
Jehovha Mwari akaramba achishevedza munhu achiti kwaari: “Uri kupiko?”,To Jehova Nyasaye ne oluongo dichwo nyadinwoya kowacho niya: “In kanye?”
"Akazodaira achiti: “Ndanzwa inzwi renyu mumunda, asi ndatya nekuti ndanga ndisina kupfeka, saka ndahwanda.”","Gikone nodwoko niya: “Ne awinjo dwondi e puodho, to luoro nomaka mi apondo nikech an duk.”"
Iye akati: “Ndiani akuudza kuti wanga usina kupfeka? Asi wadya muchero wemuti wandakati usadye?”,To Nyasaye nopenje niya: “En ng’a ma nonyisi ni in duk? Isechamo olemb yath ma nakweri ni kik icham?”
"Murume akati: “Mukadzi wamakandipa ndiye andipa muchero wemuti wacho, saka ndadya.”","Nodwoko niya: “Dhako ma ne imiya mondo okonya, e ma ne omiya olemb yadhno mi achamo.”"
"Jehovha Mwari akabva ati kumukadzi: “Chii ichi chawaita?” Mukadzi wacho akapindura kuti: “Nyoka ndiyo yandinyengera, saka ndadya.”",Eka Jehova Nyasaye nopenjo dhako niya: “Ang’o momiyo ne itimo kamano?” To nodwoke niya: “Thuol e ma ne owuonda mi achamo olemb yadhno.”
"Jehovha Mwari akabva ati kunyoka: “Nemhaka yezvawaita izvi, watukwa pazvipfuwo zvese nepamhuka dzese dzesango. Uchafamba nedumbu, uye uchadya guruva mazuva ese eupenyu hwako.","Eka Jehova Nyasaye nowacho ne thuol niya: “Okuong’i moloyo jamni duto kendo moloyo le duto mag bungu nikech gima isetimoni. Ibiro lak gi bund iyi, kendo inicham buru ndalo duto mag ngimani."
"Ndichaisa ruvengo pakati pako nemukadzi, nepakati pevana vako nemwana wake. Iye achakupwanya musoro uye iwe uchamuruma pachitsitsinho.”","Kendo abiro keto sigu e kindi gi dhako, kendo e kind kothi gi kothe. Obiro toyo wiyi, to in ibiro kayo ofunj tiende.”"
"Kumukadzi akati: “Ndichawedzera kwazvo kurwadziwa kwako nepamuviri; uchasununguka vana uchirwadziwa, uchada kugara uchingova pedyo nemurume wako, uye achakutonga.”","Eka nowacho ne dhako niya: “Abiro medoni rem ka in gi ich, kendo muoch nokayi ka inyuol. Ibiro gombo chwori, to en obiro bedo gi loch e wiyi.”"
"Kuna Adhamu akati: “Sezvo wateerera inzwi remudzimai wako, ukadya muchero wemuti wandakakurayira ndichiti, ‘Usaudya,’ ivhu ratukwa nemhosva yako. Uchadya zvibereko zvaro uchirwadziwa mazuva ese eupenyu hwako.","Ne onyiso Adam niya: “Okuong’ lowo nikech in, nikech isewinjo dwond chiegi ma ichamo olemb yath ma nakweri ni kik icham. Ibiro tiyo matek e ngimani duto mondo lowo onyagni chiemo."
"Richakumerera minzwa nemasora anobaya, uye uchadya zvinomera zvemusango.","Lowo biro nyagoni kuthe gi riegni, kendo inicham mana gik motwi e lowo."
"Uchadya zvekudya zveziya rechiso chako kusvikira wadzokera kuvhu, nekuti wakatorwa kwariri. Zvauri guruva uchadzokera kuguruva.”","Inichuer luya mondo iyud gima dicham nyaka chieng’ ma ibiro dok e lowo, nikech kanyo e ma ne ogolie. In buru kendo inidog e buru.”"
"Pashure peizvi, Adhamu akatumidza mudzimai wake kuti Evha, nekuti ndiye aizova amai vemunhu wese mupenyu.","Bang’ mano, Adam ne ochako chiege ni Hawa, nikech ne odhi bedo min ji duto mangima."
"Jehovha Mwari akagadzirira Adhamu nemudzimai wake nguo refu dzematehwe, kuti vapfeke.",Eka Jehova Nyasaye ne oloso ne Adam gi chiege lep pien ma bocho mondo girwaki.
"Jehovha Mwari akabva ati: “Iye zvino munhu ava semumwe wedu pakuziva zvakanaka nezvakaipa. Saka kuti arege kutambanudza ruoko rwake, otorawo michero yemuti weupenyu, odya, orarama nekusingagumi,—”","Bang’e, Jehova Nyasaye nowacho niya: “Ne, dhano osedoko machal kodwa nikech oseng’eyo ber gi rach. Koro mondo kik orie lwete mi okaw olemb yadh ngima mondo ocham kendo odag nyaka chieng’—”"
Jehovha Mwari akabva amudzinga mumunda weEdheni kuti arime ivhu raakanga atorwa kwariri.,"Kuom mano, Jehova Nyasaye noriembe e puoth Eden mondo odhi opur lowo ma nochueyego."
"Saka akadzingira munhu kunze, akaisa makerubhi kumabvazuva kwemunda weEdheni nebakatwa raibvira moto raigara richitenderera richichengetedza nzira yaienda kumuti weupenyu.","Kamano Nyasaye ne oriembe, mi noketo jokerubi yo wuok chieng’ mar puoth Eden kod ligangla ma ne mil ka wirore mondo orit yor yadh ngima."
"Adhamu akazorara nemudzimai wake Evha, akabata pamuviri. Paakabereka Kaini, Evha akati: “Ndabereka mwana mukomana ndichibatsirwa naJehovha.”","Adam noriwore gi Hawa chiege, mi Hawa nomako ich monyuolo Kain. Eka Hawa nowacho niya: “Asenyuolo wuoyi kuom ng’wono mar Jehova.”"
"Akazoberekazve Abheri, munin’ina waKaini. Abheri akava mufudzi wemakwai, asi Kaini akava murimi.","Bang’e, ne onyuolo Habil owadgi Kain. Habil ne obedo jakwath to Kain ne obedo japur."
"Nekufamba kwenguva, Kaini akauya nezvimwe zvirimwa zvake semupiro kuna Jehovha.",Chieng’ moro Kain nokelo ne Jehova cham moko ma nosekayo e puothe.
"Asi Abheri akauya nemamwe makwai ake akatanga kuberekwa, zvese nemafuta awo. Jehovha akafarira Abheri nemupiro wake,","To Habil ne okelo moko kuom jambe makayo, kaachiel gi bochegi bende. Jehova ne mor gi Habil kod chiwo ma nokelone."
asi haana kutombofarira Kaini nemupiro wake. Saka Kaini akagumbuka chaizvo ndokufundumwara.,"To ne odagi Kain kod chiwone. Kuom mano, mirima mager ne omako Kain mi chunye ne ojok."
Jehovha akabva ati kuna Kaini: “Nei wakagumbuka uye wakafundumwara kudaro?,Eka Jehova ne openjo Kain niya: “Ang’o momiyo in gi mirima mager kendo chunyi ojok kamano?
"Kana ukaita zvakanaka handizokufariri here? Asi kana ukasaita zvakanaka, chivi chiri kukuhwandira pasuo, uye chiri kuda kukukunda; asi iwe uchachikunda here?”","Ka itimo maber, donge abiro yie kodi, koso? To ka itimo marach, richo kiyi e dhoodi, kendo ogombo loyi. Be ibiro loye, koso?”"
"Pashure paizvozvo Kaini akati kuna Abheri munin’ina wake: “Ngatimbofambai musango.” Saka pavakanga vari musango, Kaini akarwisa munin’ina wake Abheri, akamuuraya.","Bang’ mano, Kain nowacho ne Habil owadgi niya: “Wadhi waba e pap.” To ka ne gin kuno, Kain nogoyo Habil owadgi mi onege."
"Gare gare, Jehovha akati kuna Kaini: “Munin’ina wako Abheri aripi?” Akapindura kuti: “Hameno. Ko ndini muchengeti wemunin’ina wangu here?”",Eka Jehova ne openjo Kain niya: “Ere Habil owadu?” Ne odwoke niya: “Akiya ka ma entie. Be an jakwadhe ma dang’e ka ma entie?”
Iye akabva ati: “Waitei? Inzwa! Ropa remunin’ina wako riri kushevedzera kwandiri riri panyika.,To Nyasaye nopenje niya: “Ang’o ma isetimoni? Winji! Remb owadu ywakna e lowo.
Iye zvino watukwa uye wadzingwa panyika iyo yashama muromo wayo kuti igamuchire ropa remunin’ina wako radeurwa neruoko rwako.,"Omiyo, koro isebedo ng’at mokuong’ kendo ma oriemb kuom lowo ma nong’amo dhoge momadho remb owadu misechuero."
"Paucharima ivhu, harizokudzoreri zvibereko zvaro. Uchava mudzungairi uye mupoteri panyika.”","Ka ipuro lowo, to ok obi nyagoni cham. Inibed ng’at ma bayo abaya, kendo ma onge gi kar dak e piny.”"
Kaini akabva ati kuna Jehovha: “Chirango chekukanganisa kwangu chanyanya kundiremera.,Eka Kain nodwoko Jehova niya: “Kum ma isemiya nikech richona pek mohinga.
"Nhasi muri kundidzinga panyika, uye ndichange ndabva pamberi penyu; ndichava mudzungairi nemupoteri panyika, uye chero munhu achandiwana achatondiuraya chete.”","Iseriemba kawuono e nyimi kendo e wang’ piny. Anabed ng’at ma bayo abaya, ma onge gi kar dak e piny, kendo ng’ato ang’ata moyuda, biro nega.”"
Jehovha akabva ati kwaari: “Saka munhu anouraya Kaini achatsiviwa ka7.” Jehovha akabva aisira Kaini chiratidzo kuti chero munhu aizomuwana asamuuraya.,"Jehova nodwoke niya: “Ooyo, ng’ato ang’ata ma onego Kain ibiro chulne kuor nyadibiriyo.” Omiyo, Jehova noketo kido moro kuom Kain mondo ng’ato ang’ata moromo kode kik nege."
"Saka Kaini akabva pamberi paJehovha uye akatanga kugara munyika yeNodhi, kumabvazuva kweEdheni.","Eka Kain ne oa e nyim Jehova ma odhi dak e piny Nod,  yo wuok chieng’ mar Eden."
"Pashure paizvozvo Kaini akarara nemudzimai wake, uyo akabva abata pamuviri, akabereka Inoki. Akabva atanga kuvaka guta, ndokuritumidza zita remwanakomana wake Inoki.","Eka Kain noriwore gi chiege, mi chiege ne omako ich monyuolo Enok. Kendo Kain nogero dala maduong’ mi ochako dalano ni Enok, nying wuode."
"Inoki akazobereka Iradhi. Iradhi akabereka Mehujaeri, Mehujaeri akabereka Metushaeri, Metushaeri akabereka Rameki.",Enok ne onyuolo Irad. To Irad ne onyuolo Mehujael. Mehujael ne onyuolo Methushael. To Methushael ne onyuolo Lamek.
"Rameki akawana madzimai maviri. Wekutanga ainzi Adha, wechipiri ainzi Zira.","Lamek ne okendo mon ariyo. Dhako mokwongo nyinge ne Ada, to dhako mar ariyo nyinge ne Zila."
Adha akabereka Jabhari. Jabhari ndiye akatanga upenyu hwekugara mumatende nekuchengeta zvipfuwo.,Ada ne onyuolo Jabal ma ne kwar jopith modak e hembe.
Munin’ina wake ainzi Jubhari. Ndiye akatanga zvekuridza zviridzwa zvine tambo nezviridzwa zvinoita zvekufuridzwa.,Ne en gi owadgi miluongo ni Jubal ma ne kwar jo ma goyo nyatiti gi asili.
"Kana ari Zira, akabereka Tubhari-kaini, uyo aipfura midziyo yemarudzi ese yemhangura nesimbi. Uye hanzvadzi yaTubhari-kaini yainzi Naama.",To Zila ne onyuolo Tubal-kain ma ne kwar jo ma thedho mula gi nyinyo. Nyamin Tubal-kain ne iluongo ni Naama.
